,item,url1
86,破魔刀,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559073.html
87,末世,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559068.html
88,名刀司命,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559062.html
89,贪婪之噬,http://news.4399.com/gonglue/wzlm/daoju/dy/m/558411.html
90,急速战靴,http://news.4399.com/gonglue/wzlm/daoju/yd/m/558405.html
91,极寒风暴,http://news.4399.com/gonglue/wzlm/daoju/fy/m/558404.html
92,暴烈之甲,http://news.4399.com/gonglue/wzlm/daoju/fy/m/558400.html
93,回响之杖,http://news.4399.com/gonglue/wzlm/daoju/fs/m/558395.html
94,冰霜法杖,http://news.4399.com/gonglue/wzlm/daoju/fs/m/558393.html
95,痛苦面具,http://news.4399.com/gonglue/wzlm/daoju/fs/m/558390.html
96,巫术法杖,http://news.4399.com/gonglue/wzlm/daoju/fs/m/558389.html
97,时之预言,http://news.4399.com/gonglue/wzlm/daoju/fs/m/558387.html
98,碎星锤,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558380.html
99,泣血之刃,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558379.html
100,破军,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558375.html
101,闪电匕首,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558373.html
102,影刃,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558370.html
103,暗影战斧,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558362.html
